"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000048416",286.300636691349,1.96489483093216,0.118529496827479,16.5772645925603,1.01756250963047e-61,1.61181901525467e-57
"ENSMUSG00000069171",2046.27553719447,-0.783523461726326,0.0580240383058013,-13.5034286582564,1.49264560282439e-41,1.18217531743692e-37
"ENSMUSG00000032373",2670.92389167436,0.798806149307619,0.0917438449622602,8.70691815495869,3.12248393379871e-18,1.64867151704572e-14
"ENSMUSG00000010064",3397.76973735077,0.425868796123555,0.0550730588080302,7.73279722137858,1.05208811707324e-14,4.15448419614071e-11
"ENSMUSG00000030761",448.443004562192,1.75284637742868,0.227503175696474,7.70471169056235,1.31139021342825e-14,4.15448419614071e-11
"ENSMUSG00000025823",2364.33599722002,0.32542282466478,0.0429411523064128,7.5783440170091,3.49993351593592e-14,9.23982448207082e-11
"ENSMUSG00000033965",3090.02910203063,0.429062861596945,0.0579167021953867,7.40827508012225,1.27952690683969e-13,2.8953866006201e-10
"ENSMUSG00000010080",259.9133182987,1.41074047840496,0.191583113331513,7.36359512001371,1.79022126608512e-13,3.54463810684854e-10
"ENSMUSG00000033880",571.331822208945,0.686108181204986,0.100860117390015,6.80257170980561,1.02767831841185e-11,1.80871384040485e-08
"ENSMUSG00000017765",1183.79024736526,0.604908375494364,0.0896765708275623,6.74544499095012,1.52558728255111e-11,2.19684568687359e-08
"ENSMUSG00000021806",313.543836619784,1.66551671313402,0.246546085042719,6.75539712117286,1.42444553301431e-11,2.19684568687359e-08
"ENSMUSG00000017754",2515.74096800085,0.716588437398129,0.107958536732092,6.63762643593808,3.18774496648312e-11,4.20782335575772e-08
"ENSMUSG00000027750",205.084083133045,1.09036174040815,0.167064222802098,6.52660229772698,6.7278372661268e-11,7.71667248223923e-08
"ENSMUSG00000029287",1136.6188730458,0.514171272322181,0.0788055480526314,6.52455677332241,6.82029133531246e-11,7.71667248223923e-08
"ENSMUSG00000031303",251.663900177837,0.905022373535824,0.139817497299012,6.47288351614788,9.61500768740683e-11,1.01534481179016e-07
"ENSMUSG00000047793",656.818520871703,0.544079100550949,0.0842972178863477,6.45429486515788,1.08723937713494e-10,1.07636698336359e-07
"ENSMUSG00000095304",68.8595083091343,1.58463746335753,0.246243131655439,6.43525548389657,1.23265816097066e-10,1.1485473688103e-07
"ENSMUSG00000061524",469.515004276278,0.786629591542489,0.122416382441134,6.42585229081374,1.31132690380924e-10,1.15396767535213e-07
"ENSMUSG00000026728",1687.87996319197,0.576339001177592,0.0902813438884504,6.38381061196545,1.72734699122435e-10,1.38901566388494e-07
"ENSMUSG00000039110",193.765536552338,1.14803562563754,0.179901060353113,6.38148337416218,1.75380765642038e-10,1.38901566388494e-07
"ENSMUSG00000018581",194.36949317127,1.79287222563407,0.282671610559782,6.34259741218298,2.25923264362359e-10,1.70410690833322e-07
"ENSMUSG00000038805",81.3737731651304,2.55371539547011,0.403689407771754,6.32594104850524,2.51693900112653e-10,1.8121960808111e-07
"ENSMUSG00000022203",566.076258656432,0.714162141640522,0.113915356649109,6.26923500613125,3.62826189037853e-10,2.39465284764983e-07
"ENSMUSG00000053110",1092.45052403565,0.426982326728772,0.0680740388172405,6.27232252041191,3.55701807759685e-10,2.39465284764983e-07
"ENSMUSG00000030560",590.255698281817,0.571915603297514,0.091318884889566,6.26284041892479,3.78027432809658e-10,2.39518181428199e-07
"ENSMUSG00000060177",114.26955017815,1.08926741673909,0.174934527877247,6.22671481700539,4.76316986137456e-10,2.90186963862204e-07
"ENSMUSG00000025504",280.245372813837,1.07629144956251,0.173754558640654,6.19432064391712,5.85369541478243e-10,3.31151912036263e-07
"ENSMUSG00000030495",1403.72688737218,0.410776693672293,0.0662840989298359,6.19721321258535,5.74716254044872e-10,3.31151912036263e-07
"ENSMUSG00000041703",178.889136967644,1.18359443998086,0.191396730319591,6.18398463758767,6.25034529839752e-10,3.41398170781437e-07
"ENSMUSG00000009281",270.615321084785,0.803964254840787,0.130302928207624,6.16996306913193,6.83059450596791e-10,3.60655389915106e-07
"ENSMUSG00000034258",132.071127155159,1.55598899993565,0.252938909883892,6.15163954272556,7.66860110383606e-10,3.91840778983107e-07
"ENSMUSG00000024940",1685.21101188169,0.525663878251956,0.0859201899257777,6.11804837379959,9.47283141403257e-10,4.68905154994612e-07
"ENSMUSG00000003476",181.476606003909,1.060286609347,0.173702743568867,6.10402914520825,1.03427413516703e-09,4.96451584880172e-07
