"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","cilium movement","70/843","309/24292",0.226537216828479,6.52792653760072,18.5423199198848,6.22008692191213e-37,3.1075554261873e-33,2.37410896619509e-33,"ENSMUSG00000017754/ENSMUSG00000018581/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000040189/ENSMUSG00000060176/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000059854/ENSMUSG00000041323/ENSMUSG00000039552/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000032489/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000041809/ENSMUSG00000032514/ENSMUSG00000037143/ENSMUSG00000037683/ENSMUSG00000022805/ENSMUSG00000020904/ENSMUSG00000034706/ENSMUSG00000033276/ENSMUSG00000042707/ENSMUSG00000046230/ENSMUSG00000010044/ENSMUSG00000027867/ENSMUSG00000028441/ENSMUSG00000029442/ENSMUSG00000027886/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000038756/ENSMUSG00000052273/ENSMUSG00000035126/ENSMUSG00000019945/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000061802/ENSMUSG00000037101/ENSMUSG00000023966/ENSMUSG00000118506/ENSMUSG00000055809/ENSMUSG00000066196/ENSMUSG00000026831/ENSMUSG00000029154/ENSMUSG00000026546/ENSMUSG00000022262/ENSMUSG00000026679/ENSMUSG00000020014/ENSMUSG00000094282/ENSMUSG00000041035/ENSMUSG00000052861/ENSMUSG00000061762/ENSMUSG00000020930/ENSMUSG00000049154/ENSMUSG00000064280/ENSMUSG00000031831",70
"GO:0044782","cilium organization","75/843","463/24292",0.161987041036717,4.667840095924,15.1085331449416,3.00489790116957e-29,7.50623495712159e-26,5.73461041560045e-26,"ENSMUSG00000061524/ENSMUSG00000053110/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000040189/ENSMUSG00000060176/ENSMUSG00000011658/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000034227/ENSMUSG00000010136/ENSMUSG00000024033/ENSMUSG00000019942/ENSMUSG00000046192/ENSMUSG00000059854/ENSMUSG00000041323/ENSMUSG00000039552/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000032514/ENSMUSG00000038079/ENSMUSG00000037143/ENSMUSG00000022805/ENSMUSG00000034706/ENSMUSG00000033276/ENSMUSG00000042707/ENSMUSG00000010044/ENSMUSG00000027867/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000024206/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000032558/ENSMUSG00000020895/ENSMUSG00000073650/ENSMUSG00000034401/ENSMUSG00000053153/ENSMUSG00000038195/ENSMUSG00000036598/ENSMUSG00000032849/ENSMUSG00000035126/ENSMUSG00000037098/ENSMUSG00000019945/ENSMUSG00000049811/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000043621/ENSMUSG00000061802/ENSMUSG00000037101/ENSMUSG00000023966/ENSMUSG00000055809/ENSMUSG00000042269/ENSMUSG00000050677/ENSMUSG00000026831/ENSMUSG00000029154/ENSMUSG00000026433/ENSMUSG00000020990/ENSMUSG00000022262/ENSMUSG00000020014/ENSMUSG00000094282/ENSMUSG00000063704/ENSMUSG00000020930/ENSMUSG00000026879/ENSMUSG00000064280/ENSMUSG00000031028/ENSMUSG00000031831",75
"GO:0060294","cilium movement involved in cell motility","53/843","263/24292",0.201520912547529,5.80705338980375,14.8615221190515,1.40436601929569e-25,2.33873754413376e-22,1.78674778454954e-22,"ENSMUSG00000017754/ENSMUSG00000018581/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000039552/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000032489/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000041809/ENSMUSG00000032514/ENSMUSG00000037143/ENSMUSG00000037683/ENSMUSG00000020904/ENSMUSG00000042707/ENSMUSG00000046230/ENSMUSG00000028441/ENSMUSG00000029442/ENSMUSG00000027886/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000038756/ENSMUSG00000052273/ENSMUSG00000019945/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000023966/ENSMUSG00000118506/ENSMUSG00000066196/ENSMUSG00000026831/ENSMUSG00000026546/ENSMUSG00000022262/ENSMUSG00000026679/ENSMUSG00000020014/ENSMUSG00000041035/ENSMUSG00000052861/ENSMUSG00000061762/ENSMUSG00000049154/ENSMUSG00000064280",53
"GO:0001539","cilium or flagellum-dependent cell motility","53/843","267/24292",0.198501872659176,5.72005633527486,14.7043365973875,3.00260638327324e-25,3.00020429816662e-22,2.29209489384185e-22,"ENSMUSG00000017754/ENSMUSG00000018581/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000039552/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000032489/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000041809/ENSMUSG00000032514/ENSMUSG00000037143/ENSMUSG00000037683/ENSMUSG00000020904/ENSMUSG00000042707/ENSMUSG00000046230/ENSMUSG00000028441/ENSMUSG00000029442/ENSMUSG00000027886/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000038756/ENSMUSG00000052273/ENSMUSG00000019945/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000023966/ENSMUSG00000118506/ENSMUSG00000066196/ENSMUSG00000026831/ENSMUSG00000026546/ENSMUSG00000022262/ENSMUSG00000026679/ENSMUSG00000020014/ENSMUSG00000041035/ENSMUSG00000052861/ENSMUSG00000061762/ENSMUSG00000049154/ENSMUSG00000064280",53
"GO:0060285","cilium-dependent cell motility","53/843","267/24292",0.198501872659176,5.72005633527486,14.7043365973875,3.00260638327324e-25,3.00020429816662e-22,2.29209489384185e-22,"ENSMUSG00000017754/ENSMUSG00000018581/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000039552/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000032489/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000041809/ENSMUSG00000032514/ENSMUSG00000037143/ENSMUSG00000037683/ENSMUSG00000020904/ENSMUSG00000042707/ENSMUSG00000046230/ENSMUSG00000028441/ENSMUSG00000029442/ENSMUSG00000027886/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000038756/ENSMUSG00000052273/ENSMUSG00000019945/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000023966/ENSMUSG00000118506/ENSMUSG00000066196/ENSMUSG00000026831/ENSMUSG00000026546/ENSMUSG00000022262/ENSMUSG00000026679/ENSMUSG00000020014/ENSMUSG00000041035/ENSMUSG00000052861/ENSMUSG00000061762/ENSMUSG00000049154/ENSMUSG00000064280",53
"GO:0035082","axoneme assembly","36/843","116/24292",0.310344827586207,8.94293778377715,16.2589409169189,1.24896749931816e-24,1.03997360443226e-21,7.94518623250466e-22,"ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000040189/ENSMUSG00000032221/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000034227/ENSMUSG00000024033/ENSMUSG00000059854/ENSMUSG00000041323/ENSMUSG00000039552/ENSMUSG00000068617/ENSMUSG00000071550/ENSMUSG00000022805/ENSMUSG00000034706/ENSMUSG00000033276/ENSMUSG00000010044/ENSMUSG00000027867/ENSMUSG00000028294/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000035126/ENSMUSG00000073102/ENSMUSG00000061802/ENSMUSG00000023966/ENSMUSG00000055809/ENSMUSG00000026831/ENSMUSG00000022262/ENSMUSG00000094282/ENSMUSG00000020930/ENSMUSG00000064280/ENSMUSG00000031831",36
"GO:0097722","sperm motility","50/843","245/24292",0.204081632653061,5.88084344057908,14.5586729086431,1.85900706155114e-24,1.32679989707278e-21,1.01364806092999e-21,"ENSMUSG00000017754/ENSMUSG00000018581/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000051435/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000032489/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000041809/ENSMUSG00000032514/ENSMUSG00000037143/ENSMUSG00000037683/ENSMUSG00000020904/ENSMUSG00000042707/ENSMUSG00000046230/ENSMUSG00000028441/ENSMUSG00000029442/ENSMUSG00000027886/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000019945/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000023966/ENSMUSG00000118506/ENSMUSG00000066196/ENSMUSG00000026831/ENSMUSG00000026546/ENSMUSG00000022262/ENSMUSG00000026679/ENSMUSG00000020014/ENSMUSG00000041035/ENSMUSG00000061762/ENSMUSG00000049154/ENSMUSG00000064280",50
"GO:0001578","microtubule bundle formation","40/843","151/24292",0.264900662251656,7.63341267783775,15.5032297491407,2.59190684605474e-24,1.61864582536119e-21,1.2366123978677e-21,"ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000040189/ENSMUSG00000032221/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000034227/ENSMUSG00000024033/ENSMUSG00000059854/ENSMUSG00000041323/ENSMUSG00000039552/ENSMUSG00000068617/ENSMUSG00000071550/ENSMUSG00000022805/ENSMUSG00000034706/ENSMUSG00000033276/ENSMUSG00000010044/ENSMUSG00000027867/ENSMUSG00000028294/ENSMUSG00000040219/ENSMUSG00000067276/ENSMUSG00000028730/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000038756/ENSMUSG00000035126/ENSMUSG00000039298/ENSMUSG00000073102/ENSMUSG00000061802/ENSMUSG00000023966/ENSMUSG00000055809/ENSMUSG00000026831/ENSMUSG00000058690/ENSMUSG00000022262/ENSMUSG00000094282/ENSMUSG00000020930/ENSMUSG00000064280/ENSMUSG00000031831",40
"GO:0060271","cilium assembly","65/843","425/24292",0.152941176470588,4.40717326076338,13.4358172551325,4.93975087257992e-24,2.74211059548992e-21,2.09491656888594e-21,"ENSMUSG00000053110/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000040189/ENSMUSG00000060176/ENSMUSG00000011658/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000034227/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000059854/ENSMUSG00000041323/ENSMUSG00000039552/ENSMUSG00000068617/ENSMUSG00000071550/ENSMUSG00000038079/ENSMUSG00000037143/ENSMUSG00000022805/ENSMUSG00000034706/ENSMUSG00000033276/ENSMUSG00000042707/ENSMUSG00000010044/ENSMUSG00000027867/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000024206/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000032558/ENSMUSG00000020895/ENSMUSG00000034401/ENSMUSG00000053153/ENSMUSG00000038195/ENSMUSG00000036598/ENSMUSG00000032849/ENSMUSG00000035126/ENSMUSG00000037098/ENSMUSG00000019945/ENSMUSG00000049811/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000043621/ENSMUSG00000061802/ENSMUSG00000023966/ENSMUSG00000055809/ENSMUSG00000042269/ENSMUSG00000050677/ENSMUSG00000026831/ENSMUSG00000026433/ENSMUSG00000020990/ENSMUSG00000022262/ENSMUSG00000020014/ENSMUSG00000094282/ENSMUSG00000063704/ENSMUSG00000020930/ENSMUSG00000026879/ENSMUSG00000064280/ENSMUSG00000031831",65
"GO:0030317","flagellated sperm motility","49/843","244/24292",0.200819672131148,5.78684635279933,14.2488311592804,1.15269884185848e-23,5.75888341392495e-21,4.39966947429351e-21,"ENSMUSG00000017754/ENSMUSG00000018581/ENSMUSG00000030125/ENSMUSG00000047021/ENSMUSG00000035578/ENSMUSG00000032221/ENSMUSG00000011154/ENSMUSG00000072663/ENSMUSG00000044948/ENSMUSG00000024033/ENSMUSG00000046192/ENSMUSG00000026649/ENSMUSG00000068617/ENSMUSG00000032489/ENSMUSG00000048029/ENSMUSG00000071550/ENSMUSG00000041809/ENSMUSG00000032514/ENSMUSG00000037143/ENSMUSG00000037683/ENSMUSG00000020904/ENSMUSG00000042707/ENSMUSG00000046230/ENSMUSG00000028441/ENSMUSG00000029442/ENSMUSG00000027886/ENSMUSG00000028294/ENSMUSG00000020799/ENSMUSG00000040219/ENSMUSG00000028730/ENSMUSG00000036962/ENSMUSG00000032057/ENSMUSG00000021879/ENSMUSG00000053153/ENSMUSG00000019945/ENSMUSG00000039543/ENSMUSG00000073102/ENSMUSG00000023966/ENSMUSG00000118506/ENSMUSG00000066196/ENSMUSG00000026831/ENSMUSG00000026546/ENSMUSG00000022262/ENSMUSG00000026679/ENSMUSG00000020014/ENSMUSG00000041035/ENSMUSG00000061762/ENSMUSG00000049154/ENSMUSG00000064280",49
